dataset,scenario,method,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,minority_recall_mean,minority_recall_std,minority_f1_mean,minority_f1_std,last20_collapse_rate_mean,last20_collapse_rate_std,all_rounds_collapse_rate_mean,all_rounds_collapse_rate_std,last20_predicted_positive_rate_mean,last20_predicted_positive_rate_std
default_credit,alpha_0p1,fedavg,3,0.7800416667,0.002121778604,0.4536861031,0.02733788035,0.5090853298,0.01570805806,0.6456185942,0.04305139612,0.3864911079,0.03198351583,0.02321024868,0.04007082389,0.03166273496,0.05458091181,0.7666666667,0.2753785274,0.7488888889,0.05003702333,0.009058333333,0.01560291105
default_credit,alpha_0p1,fedavg_classweight,3,0.7645611111,0.02586067415,0.4559460268,0.0215022807,0.5151277175,0.02186077237,0.6430092345,0.05315746178,0.3827770361,0.04230350149,0.06784727455,0.1074339868,0.05813733738,0.08136419551,0.45,0.2783882181,0.4888888889,0.09100264546,0.04428333333,0.07338226445
default_credit,alpha_0p1,fedprox,3,0.7803555556,0.00232285345,0.4536213456,0.02512588515,0.5088776573,0.01439299587,0.6590335094,0.04743447896,0.398523905,0.03491567722,0.02206731977,0.03604017771,0.03128138067,0.04987489448,0.55,0.2645751311,0.6888888889,0.01387777333,0.008238888889,0.01362122867
default_credit,alpha_0p1,fedrba,3,0.6840916667,0.05294717559,0.4418016036,0.02293497063,0.5275835645,0.02534011101,0.6519440983,0.05336473741,0.3919469666,0.05441078345,0.2469354434,0.1564539504,0.1505987627,0.09435130037,0.3666666667,0.1892969449,0.3466666667,0.1270170592,0.2039694444,0.1209074343
default_credit,alpha_0p1,fedrba_classagg,3,0.7657416667,0.02332081658,0.4545465877,0.02435118318,0.5142713614,0.02251688671,0.6546193378,0.05488754683,0.3949533159,0.05450079827,0.0633383572,0.1046676016,0.0525257686,0.08197274613,0.7,0.35,0.6222222222,0.08598018721,0.04110833333,0.06960880322
default_credit,alpha_0p3,fedavg,3,0.7841444444,0.005983718264,0.4781713954,0.04205454901,0.5237879553,0.02763613886,0.7269630547,0.004405441395,0.4718226781,0.00850082155,0.05692037177,0.06646969921,0.07899561416,0.08226664128,0.5166666667,0.375277675,0.4511111111,0.234883738,0.01986666667,0.02342352954
default_credit,alpha_0p3,fedavg_classweight,3,0.7738611111,0.02060565647,0.5194563382,0.06353454547,0.556256594,0.04294727619,0.7245890508,0.001751194037,0.4678577474,0.009105753277,0.1660512434,0.135925528,0.174857666,0.1327268233,0.45,0.45,0.3622222222,0.2570199589,0.07842222222,0.07337631995
default_credit,alpha_0p3,fedprox,3,0.7831972222,0.004303433169,0.4756713923,0.0370888383,0.5216690163,0.02396092802,0.7366252123,0.01284256371,0.4796665818,0.02026749852,0.05270032655,0.05922715821,0.0744995567,0.07321641718,0.4833333333,0.3511884584,0.4422222222,0.2516022729,0.01894722222,0.02190729415
default_credit,alpha_0p3,fedrba,3,0.756475,0.01159628473,0.5398350953,0.04441351625,0.5768854592,0.03192689465,0.7176132451,0.005020543566,0.4599267178,0.005522217724,0.2548480281,0.1093128458,0.2452663781,0.1120160959,0.2333333333,0.2254624876,0.2244444444,0.1660432786,0.1350861111,0.0597075188
default_credit,alpha_0p3,fedrba_classagg,3,0.7755222222,0.0050422681,0.4824394685,0.03801104099,0.5290128189,0.02745965931,0.7250428071,0.01129663542,0.4702735132,0.01607431817,0.08697563426,0.08502272497,0.0984844507,0.08642550558,0.45,0.3774917218,0.4088888889,0.2233416251,0.04178333333,0.0423320382
